
2025-06-20 14:47:54 - Current Artist MP3 not found: 'Rav Mordechai Lebhar', Source FILENAME: 'G:\Shiurim\R Mordechai Lebhar\R' Mordechai Lebhar - Write your chidushim and keep them M.mp3'
2025-06-21 22:14:40 - Current Artist MP3 not found: 'R' Elimelech Biderman פרשת שלח 5785 Parshas Shlach M', Source FILENAME: 'G:\Shiurim\R Elimelech Biderman\R' Elimelech Biderman פרשת שלח 5785 Parshas Shlach M.mp3'
2025-06-22 11:05:31 - Current Artist MP3 not found: 'Rav shoshan', Source FILENAME: 'G:\Shiurim\From D\R Shushan Shlita Music Only Given for Radio not to trade\R Shushan Shlita Disk (8)\Ashreinu uma tov chelkeinu.mp3'
2025-06-22 12:19:23 - Current Artist MP3 not found: 'R Ezra Zafrani Shlita', Source FILENAME: 'G:\Shiurim\R Ezra Zafrani Shlita\R Ezra Zafrani   קורח M.mp3'
2025-06-23 03:09:03 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\39 יהושע פרק י_ז - about חצי שבט מנשה בעבר הירדן.mp3'
2025-06-23 12:28:15 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\115 מגילת רות - the role of חסד in building מלכות בית דוד.mp3'
2025-06-23 21:19:54 - Current Artist MP3 not found: 'rabbi yaakov hillel what', Source FILENAME: 'G:\Shiurim\From D\R yakov hillel\Rabbi Yaakov Hillel Shlita\rabbi_yaakov_hillel_what-we-can-learn-from-the-meraglim H.mp3'
2025-06-24 04:19:01 - Current Artist MP3 not found: 'Rav Joey Haber', Source FILENAME: 'G:\Shiurim\R Joey Haber\R' Joey Haber - The Yetzer Hara Just Got An Upgrade M.mp3'
2025-06-24 06:51:12 - Current Artist MP3 not found: 'Rosh Kislev', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\New niggunim Teives 5783\chabad\01 - ניגון רח' כסליו.MP3'
2025-06-24 06:56:00 - Current Artist MP3 not found: 'Rabbis Sons', Source FILENAME: 'G:\Music\all 10 Teves music\Rabbis sons\Rabbis Sons-Greatest Hits-07-Lecha Hashem ID2841.mp3'
2025-06-24 11:00:15 - Current Artist MP3 not found: 'R Shushan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Ein hamelech nosha brov chayil.mp3'
2025-06-24 12:56:00 - Current Artist MP3 not found: 'Rav Moshe Perhillehe', Source FILENAME: 'G:\Shiurim\R Perhille\01 R Perille\05. Mavir al midosav\Mavir al midosav_R Moshe Phorille 1-5 M1.mp3'
2025-06-24 15:42:23 - Current Artist MP3 not found: 'Rav Malkiel Kotler', Source FILENAME: 'G:\Shiurim\R Malkiel Kotler\rabbi_aryeh malkiel_kotler_kol-yisroel-areivim-zeh-lazeh-arvut-preventing-a-fellow-jew-from-doing-an-issur-dioraisa AM.mp3'
2025-06-24 19:47:11 - Current Artist MP3 not found: 'Rav Mordechai Lebhar', Source FILENAME: 'G:\Shiurim\R Mordechai Lebhar\R' Mordechai Lebhar - Write your chidushim and keep them M.mp3'
2025-06-25 03:14:37 - Current Artist MP3 not found: 'Rav Label Lamm', Source FILENAME: 'G:\Shiurim\R Label Lam Shlita\rabbi_label_lam_lol-lam-on-life-60-minutes-in-the-hour H.mp3'
2025-06-25 04:04:40 - Current Artist MP3 not found: 'Rav Binyomin Pruzansky', Source FILENAME: 'G:\Shiurim\R Binyomin Pruzansky\rabbi_binyomin_pruzansky_give-it-all-you-got M.mp3'
2025-06-25 04:12:24 - Current Artist MP3 not found: 'Rabbis Sons', Source FILENAME: 'G:\Music\all 10 Teves music\Rabbis sons\Rabbis Sons-Greatest Hits-09-Kavei ID2843.mp3'
